Instance,Configuration,Value,Time_Seconds,Feasible,Iterations,Convergence_Iteration
instance-02.txt,STANDARD,134.00,42,Yes,10000,33
instance-02.txt,STANDARD+BEST,200.00,39,Yes,10000,15
instance-02.txt,STANDARD+TENURE,134.00,46,Yes,10000,13
instance-02.txt,STRATEGIC_OSCILLATION,134.00,29,Yes,10000,33
instance-02.txt,INTENSIFICATION_RESTART,177.00,47,Yes,10000,3351
instance-03.txt,STANDARD,45.00,64,Yes,10000,14
instance-03.txt,STANDARD+BEST,283.00,67,Yes,10000,16
instance-03.txt,STANDARD+TENURE,75.00,69,Yes,10000,52
instance-03.txt,STRATEGIC_OSCILLATION,45.00,64,Yes,10000,14
instance-03.txt,INTENSIFICATION_RESTART,258.00,56,Yes,10000,3011
instance-01.txt,STANDARD,59.00,84,Yes,10000,9
instance-01.txt,STANDARD+BEST,354.00,99,Yes,10000,18
instance-01.txt,STANDARD+TENURE,99.00,96,Yes,10000,14
instance-01.txt,STRATEGIC_OSCILLATION,59.00,85,Yes,10000,9
instance-01.txt,INTENSIFICATION_RESTART,354.00,97,Yes,10000,9512
instance-06.txt,STANDARD,120.00,255,Yes,10000,21
instance-06.txt,STANDARD+BEST,514.00,266,Yes,10000,25
instance-06.txt,STANDARD+TENURE,168.00,171,Yes,10000,135
instance-06.txt,STRATEGIC_OSCILLATION,120.00,254,Yes,10000,21
instance-06.txt,INTENSIFICATION_RESTART,369.00,230,Yes,10000,9801
instance-05.txt,STANDARD,136.00,280,Yes,10000,19
instance-05.txt,STANDARD+BEST,677.00,330,Yes,10000,38
instance-05.txt,STANDARD+TENURE,201.00,303,Yes,10000,21
instance-05.txt,STRATEGIC_OSCILLATION,136.00,289,Yes,10000,19
instance-05.txt,INTENSIFICATION_RESTART,339.00,291,Yes,10000,9121
instance-04.txt,STANDARD,55.00,441,Yes,10000,14
instance-04.txt,STANDARD+BEST,604.00,452,Yes,10000,33
instance-04.txt,STANDARD+TENURE,55.00,453,Yes,10000,10
instance-04.txt,STRATEGIC_OSCILLATION,55.00,448,Yes,10000,14
instance-04.txt,INTENSIFICATION_RESTART,414.00,468,Yes,10000,4207
instance-09.txt,STANDARD,260.00,1038,Yes,10000,29
instance-09.txt,STANDARD+BEST,2008.00,1003,Yes,10000,78
instance-09.txt,STANDARD+TENURE,363.00,965,Yes,10000,78
instance-09.txt,STRATEGIC_OSCILLATION,260.00,957,Yes,10000,29
instance-09.txt,INTENSIFICATION_RESTART,906.00,1069,Yes,10000,6882
instance-08.txt,STANDARD,152.00,1568,Yes,10000,16
instance-08.txt,STANDARD+BEST,2267.00,1800,Yes,6867,104
instance-08.txt,STANDARD+TENURE,144.00,1746,Yes,10000,32
instance-08.txt,STRATEGIC_OSCILLATION,152.00,1560,Yes,10000,16
instance-08.txt,INTENSIFICATION_RESTART,1202.00,1800,Yes,7962,7041
instance-07.txt,STANDARD,48.00,1800,Yes,5386,24
instance-07.txt,STANDARD+BEST,1527.00,1800,Yes,5695,148
instance-07.txt,STANDARD+TENURE,82.00,1800,Yes,5817,17
instance-07.txt,STRATEGIC_OSCILLATION,48.00,1800,Yes,5129,24
instance-07.txt,INTENSIFICATION_RESTART,402.00,1800,Yes,6133,5141
instance-12.txt,STANDARD,807.00,1800,Yes,4042,3
instance-12.txt,STANDARD+BEST,5129.00,1800,Yes,3096,202
instance-12.txt,STANDARD+TENURE,962.00,1800,Yes,3910,35
instance-12.txt,STRATEGIC_OSCILLATION,807.00,1800,Yes,3794,3
instance-12.txt,INTENSIFICATION_RESTART,1170.00,1800,Yes,3525,3372
instance-11.txt,STANDARD,122.00,1800,Yes,1339,1
instance-11.txt,STANDARD+BEST,4759.00,1800,Yes,725,224
instance-11.txt,STANDARD+TENURE,235.00,1800,Yes,1301,56
instance-11.txt,STRATEGIC_OSCILLATION,122.00,1800,Yes,1352,1
instance-11.txt,INTENSIFICATION_RESTART,697.00,1800,Yes,922,521
instance-10.txt,STANDARD,77.00,1801,Yes,739,9
instance-10.txt,STANDARD+BEST,5371.00,1801,Yes,682,162
instance-10.txt,STANDARD+TENURE,163.00,1800,Yes,631,145
instance-10.txt,STRATEGIC_OSCILLATION,77.00,1800,Yes,723,9
instance-10.txt,INTENSIFICATION_RESTART,544.00,1800,Yes,678,319
instance-15.txt,STANDARD,1781.00,1800,Yes,656,5
instance-15.txt,STANDARD+BEST,14590.00,1802,Yes,596,382
instance-15.txt,STANDARD+TENURE,1781.00,1801,Yes,683,5
instance-15.txt,STRATEGIC_OSCILLATION,1792.00,1800,Yes,728,102
instance-15.txt,INTENSIFICATION_RESTART,1790.00,1801,Yes,590,506
instance-14.txt,STANDARD,253.00,1804,Yes,155,6
instance-14.txt,STANDARD+BEST,8202.00,1808,Yes,111,111
instance-14.txt,STANDARD+TENURE,374.00,1800,Yes,145,37
instance-14.txt,STRATEGIC_OSCILLATION,253.00,1805,Yes,187,6
instance-14.txt,INTENSIFICATION_RESTART,253.00,1800,Yes,136,6
instance-13.txt,STANDARD,41.00,1811,Yes,76,13
instance-13.txt,STANDARD+BEST,4768.00,1812,Yes,75,75
instance-13.txt,STANDARD+TENURE,114.00,1805,Yes,78,35
instance-13.txt,STRATEGIC_OSCILLATION,41.00,1807,Yes,111,13
instance-13.txt,INTENSIFICATION_RESTART,41.00,1810,Yes,75,13
